"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Perubahan%"
"04/01/2022","14.300,0","14.287,5","14.327,5","14.270,0","0,25%"
"03/01/2022","14.264,0","14.255,0","14.276,5","14.249,0","0,10%"
"31/12/2021","14.250,0","14.280,0","14.287,5","14.240,0","-0,11%"
"30/12/2021","14.265,0","14.242,5","14.280,0","14.237,5","0,11%"
"29/12/2021","14.250,0","14.240,0","14.276,5","14.235,0","0,18%"
"28/12/2021","14.225,0","14.225,0","14.244,5","14.220,0","0,00%"
"27/12/2021","14.225,0","14.225,0","14.241,5","14.207,5","0,04%"
"24/12/2021","14.220,0","14.185,0","14.242,5","14.180,0","-0,19%"
"23/12/2021","14.247,0","14.220,0","14.260,0","14.217,5","-0,27%"
"22/12/2021","14.285,0","14.280,0","14.293,5","14.235,0","-0,20%"
"21/12/2021","14.313,0","14.387,5","14.392,5","14.305,0","-0,43%"
"20/12/2021","14.375,0","14.387,5","14.392,5","14.367,5","0,07%"
"17/12/2021","14.365,0","14.365,0","14.391,5","14.360,0","0,17%"
"16/12/2021","14.340,0","14.335,0","14.367,5","14.315,0","0,07%"
"15/12/2021","14.330,0","14.337,5","14.345,0","14.329,0","0,00%"
"14/12/2021","14.330,0","14.340,0","14.353,5","14.330,0","-0,07%"
"13/12/2021","14.340,0","14.357,5","14.366,5","14.327,5","-0,21%"
"10/12/2021","14.370,0","14.380,0","14.390,0","14.367,0","0,14%"
"09/12/2021","14.350,0","14.320,0","14.372,5","14.310,0","-0,03%"
"08/12/2021","14.355,0","14.350,0","14.362,5","14.335,0","-0,14%"
"07/12/2021","14.375,0","14.417,5","14.432,5","14.377,5","-0,42%"
"06/12/2021","14.435,0","14.440,0","14.449,0","14.417,5","0,28%"
"03/12/2021","14.395,0","14.405,0","14.412,5","14.392,5","0,14%"
"02/12/2021","14.375,0","14.350,0","14.382,5","14.350,0","0,24%"
"01/12/2021","14.340,0","14.344,0","14.362,5","14.334,5","0,14%"
"30/11/2021","14.320,0","14.315,0","14.347,5","14.292,5","0,00%"
"29/11/2021","14.320,0","14.370,0","14.375,0","14.312,5","0,14%"
"26/11/2021","14.300,0","14.275,0","14.345,0","14.275,0","0,25%"
"25/11/2021","14.265,0","14.262,5","14.290,0","14.262,5","0,07%"
"24/11/2021","14.255,0","14.275,0","14.281,0","14.257,5","0,00%"
"23/11/2021","14.255,0","14.257,5","14.277,5","14.255,0","0,07%"
"22/11/2021","14.245,0","14.245,0","14.265,0","14.245,0","0,07%"
"19/11/2021","14.235,0","14.210,0","14.242,5","14.210,0","0,07%"
"18/11/2021","14.225,0","14.245,0","14.247,5","14.223,0","-0,11%"
"17/11/2021","14.240,0","14.245,0","14.272,5","14.237,5","0,14%"
"16/11/2021","14.220,0","14.200,0","14.226,0","14.195,0","0,07%"
"15/11/2021","14.210,0","14.215,0","14.220,0","14.187,5","-0,16%"
"12/11/2021","14.233,0","14.265,0","14.271,5","14.232,5","-0,19%"
"11/11/2021","14.260,0","14.295,0","14.310,0","14.262,5","0,07%"
"10/11/2021","14.250,0","14.255,0","14.265,0","14.241,0","0,07%"
"09/11/2021","14.240,0","14.237,5","14.247,5","14.220,0","-0,11%"
"08/11/2021","14.255,0","14.325,0","14.332,5","14.254,0","-0,49%"
"05/11/2021","14.325,0","14.360,0","14.392,5","14.325,0","-0,07%"
"04/11/2021","14.335,0","14.312,5","14.350,0","14.299,5","0,28%"
"03/11/2021","14.295,0","14.272,5","14.315,0","14.262,5","0,32%"
"02/11/2021","14.250,0","14.260,0","14.271,0","14.245,0","0,04%"
"01/11/2021","14.245,0","14.185,0","14.261,5","14.185,0","0,56%"
"29/10/2021","14.165,0","14.167,5","14.177,5","14.157,0","-0,04%"
"28/10/2021","14.170,0","14.190,0","14.215,0","14.172,5","0,00%"
"27/10/2021","14.170,0","14.160,0","14.193,5","14.154,5","0,14%"
"26/10/2021","14.150,0","14.155,0","14.172,5","14.142,5","-0,04%"
"25/10/2021","14.155,0","14.165,0","14.190,0","14.157,5","0,25%"
"22/10/2021","14.120,0","14.140,0","14.169,0","14.122,5","0,00%"
"21/10/2021","14.120,0","14.100,0","14.152,5","14.092,5","0,33%"
"19/10/2021","14.073,0","14.067,5","14.092,5","14.059,5","-0,23%"
"18/10/2021","14.105,0","14.060,0","14.115,0","14.040,0","0,25%"
"15/10/2021","14.070,0","14.085,0","14.097,5","14.062,0","-0,32%"
"14/10/2021","14.115,0","14.197,5","14.202,5","14.092,5","-0,70%"
"13/10/2021","14.215,0","14.220,0","14.229,0","14.210,0","0,00%"
"12/10/2021","14.215,0","14.215,0","14.225,0","14.203,0","0,07%"
"11/10/2021","14.205,0","14.215,0","14.223,0","14.201,5","-0,11%"
"08/10/2021","14.220,0","14.210,0","14.237,5","14.197,5","0,04%"
"07/10/2021","14.215,0","14.250,0","14.257,5","14.212,0","-0,25%"
"06/10/2021","14.250,0","14.240,0","14.260,0","14.228,0","0,01%"
"05/10/2021","14.248,0","14.270,0","14.275,0","14.245,5","-0,12%"
"04/10/2021","14.265,0","14.307,5","14.336,5","14.258,0","-0,28%"
"01/10/2021","14.305,0","14.310,0","14.330,0","14.305,0","-0,03%"
"30/09/2021","14.310,0","14.317,5","14.332,5","14.305,5","0,14%"
"29/09/2021","14.290,0","14.295,0","14.330,0","14.292,5","0,14%"
"28/09/2021","14.270,0","14.265,0","14.287,5","14.253,5","0,14%"
"27/09/2021","14.250,0","14.260,0","14.270,0","14.247,5","-0,04%"
"24/09/2021","14.255,0","14.245,0","14.266,5","14.228,5","0,11%"
"23/09/2021","14.240,0","14.250,0","14.265,0","14.236,0","0,00%"
"22/09/2021","14.240,0","14.245,0","14.256,0","14.236,0","0,04%"
"21/09/2021","14.235,0","14.255,0","14.260,0","14.235,5","-0,04%"
"20/09/2021","14.240,0","14.270,0","14.287,5","14.237,5","0,11%"
"17/09/2021","14.225,0","14.275,0","14.282,5","14.195,0","-0,18%"
"16/09/2021","14.250,0","14.230,0","14.261,5","14.217,5","0,07%"
"15/09/2021","14.240,0","14.257,5","14.267,5","14.235,0","-0,04%"
"14/09/2021","14.245,0","14.257,5","14.267,5","14.241,5","-0,04%"
"13/09/2021","14.250,0","14.245,0","14.270,0","14.220,0","0,35%"
"10/09/2021","14.200,0","14.275,0","14.275,0","14.195,5","-0,35%"
"09/09/2021","14.250,0","14.280,0","14.283,5","14.252,5","0,00%"
"08/09/2021","14.250,0","14.240,0","14.277,5","14.232,5","0,28%"
"07/09/2021","14.210,0","14.220,0","14.220,0","14.176,5","-0,07%"
"06/09/2021","14.220,0","14.247,5","14.260,0","14.210,0","-0,28%"
"03/09/2021","14.260,0","14.270,0","14.270,0","14.252,5","-0,07%"
"02/09/2021","14.270,0","14.265,0","14.290,0","14.260,0","-0,07%"
"01/09/2021","14.280,0","14.265,0","14.305,0","14.255,0","0,11%"
"31/08/2021","14.265,0","14.345,0","14.350,5","14.260,0","-0,72%"
"30/08/2021","14.368,0","14.405,0","14.410,0","14.359,5","-0,33%"
"27/08/2021","14.415,0","14.425,0","14.447,5","14.412,5","0,00%"
"26/08/2021","14.415,0","14.425,0","14.433,5","14.408,5","0,14%"
"25/08/2021","14.395,0","14.405,0","14.421,0","14.387,5","0,03%"
"24/08/2021","14.390,0","14.395,0","14.407,5","14.377,5","-0,14%"
"23/08/2021","14.410,0","14.435,0","14.438,5","14.404,0","-0,28%"
"20/08/2021","14.450,0","14.475,0","14.485,0","14.422,5","0,35%"
"19/08/2021","14.400,0","14.405,0","14.425,0","14.392,5","0,21%"
"18/08/2021","14.370,0","14.387,5","14.400,0","14.372,5","0,00%"
"16/08/2021","14.370,0","14.390,0","14.395,0","14.371,5","-0,10%"
"13/08/2021","14.385,0","14.382,5","14.395,0","14.366,0","0,03%"
"12/08/2021","14.380,0","14.395,0","14.407,5","14.366,0","0,00%"
"10/08/2021","14.380,0","14.375,0","14.402,0","14.375,0","0,14%"
"09/08/2021","14.360,0","14.370,0","14.387,5","14.357,5","0,07%"
"06/08/2021","14.350,0","14.360,0","14.377,5","14.347,5","0,07%"
"05/08/2021","14.340,0","14.330,0","14.360,0","14.321,0","0,21%"
"04/08/2021","14.310,0","14.325,0","14.347,5","14.304,5","-0,21%"
"03/08/2021","14.340,0","14.375,0","14.388,0","14.338,5","-0,55%"
"02/08/2021","14.420,0","14.465,0","14.472,5","14.422,5","-0,28%"
"30/07/2021","14.460,0","14.435,0","14.477,5","14.434,5","-0,14%"
"29/07/2021","14.480,0","14.490,0","14.502,5","14.482,5","-0,03%"
"28/07/2021","14.485,0","14.500,0","14.512,5","14.485,0","-0,03%"
"27/07/2021","14.490,0","14.473,5","14.497,5","14.465,0","0,07%"
"26/07/2021","14.480,0","14.510,0","14.522,5","14.470,0","-0,07%"
"23/07/2021","14.490,0","14.500,0","14.512,5","14.488,5","0,07%"
"22/07/2021","14.480,0","14.500,0","14.518,0","14.482,5","-0,41%"
"21/07/2021","14.540,0","14.530,0","14.560,0","14.530,0","0,17%"
"19/07/2021","14.515,0","14.512,5","14.537,5","14.505,0","0,14%"
"16/07/2021","14.495,0","14.515,0","14.542,5","14.490,0","0,10%"
"15/07/2021","14.480,0","14.480,0","14.512,5","14.472,5","0,03%"
"14/07/2021","14.475,0","14.485,0","14.502,5","14.477,5","0,09%"
"13/07/2021","14.462,0","14.505,0","14.515,0","14.459,0","-0,19%"
"12/07/2021","14.490,0","14.485,0","14.502,5","14.471,5","-0,24%"
"09/07/2021","14.525,0","14.535,0","14.559,5","14.525,0","0,03%"
"08/07/2021","14.520,0","14.495,0","14.557,5","14.492,5","0,28%"
"07/07/2021","14.480,0","14.485,0","14.512,5","14.472,5","0,10%"
"06/07/2021","14.465,0","14.475,0","14.485,0","14.456,0","-0,08%"
"05/07/2021","14.476,0","14.487,5","14.510,0","14.470,0","-0,37%"
"02/07/2021","14.530,0","14.515,0","14.572,5","14.515,0","0,21%"
"01/07/2021","14.500,0","14.510,0","14.555,0","14.500,0","0,03%"
"30/06/2021","14.495,0","14.500,0","14.560,0","14.497,5","0,10%"
"29/06/2021","14.480,0","14.455,0","14.494,0","14.455,0","0,28%"
"28/06/2021","14.440,0","14.415,0","14.475,0","14.415,0","0,14%"
"25/06/2021","14.420,0","14.420,0","14.450,0","14.415,0","-0,10%"
"24/06/2021","14.435,0","14.440,0","14.466,0","14.432,5","0,03%"
"23/06/2021","14.430,0","14.440,0","14.467,5","14.415,0","0,21%"
"22/06/2021","14.400,0","14.420,0","14.437,5","14.397,5","-0,17%"
"21/06/2021","14.425,0","14.390,0","14.460,0","14.390,0","0,38%"
"18/06/2021","14.370,0","14.375,0","14.402,5","14.370,0","0,14%"
"17/06/2021","14.350,0","14.300,0","14.385,0","14.295,0","0,81%"
"16/06/2021","14.235,0","14.235,0","14.267,5","14.235,0","0,11%"
"15/06/2021","14.220,0","14.210,0","14.247,5","14.210,0","0,14%"
"14/06/2021","14.200,0","14.200,0","14.232,5","14.197,5","0,08%"
